query,significant,p_value,term_size,query_size,intersection_size,precision,recall,term_id,source,term_name,effective_domain_size,source_order,parents,highlighted
query_1,TRUE,0.00283726153922555,28,5727,18,0.00314300680984809,0.642857142857143,GO:0002478,GO:BP,antigen processing and presentation of exogenous peptide antigen,26856,1015,c("GO:0019884", "GO:0048002"),TRUE
query_1,TRUE,0.00389798564774892,34,5747,20,0.00348007656168436,0.588235294117647,GO:0030515,GO:MF,snoRNA binding,24945,3957,GO:0003723,TRUE
query_1,TRUE,0.00444521770901341,53,5747,27,0.00469810335827388,0.509433962264151,GO:0016796,GO:MF,exonuclease activity, active with either ribo- or deoxyribonucleic acids and producing 5'-phosphomonoesters,24945,2999,GO:0004527,TRUE
query_1,TRUE,0.00487858408265281,275,5727,92,0.0160642570281124,0.334545454545455,GO:0051259,GO:BP,protein complex oligomerization,26856,14287,GO:0065003,TRUE
query_1,TRUE,0.00489828814928361,56,5727,28,0.00488912170420814,0.5,GO:0006383,GO:BP,transcription by RNA polymerase III,26856,2182,GO:0006351,TRUE
query_1,TRUE,0.00765116760007499,7,5751,7,0.00121717962093549,1,GO:0072357,GO:CC,PTW/PP1 phosphatase complex,26959,2805,GO:0000164,TRUE
query_1,TRUE,0.00834391864734598,22,5751,14,0.00243435924187098,0.636363636363636,GO:0005849,GO:CC,mRNA cleavage factor complex,26959,395,GO:0140513,TRUE
query_1,TRUE,0.00854544175095078,72,5747,33,0.00574212632677919,0.458333333333333,GO:0019843,GO:MF,rRNA binding,24945,3736,GO:0003723,TRUE
query_1,TRUE,0.0114664850988288,89,5727,38,0.00663523659856819,0.426966292134831,GO:0051881,GO:BP,regulation of mitochondrial membrane potential,26856,14663,GO:0042391,TRUE
query_1,TRUE,0.015286797078094,44,5727,23,0.00401606425702811,0.522727272727273,GO:0044788,GO:BP,modulation by host of viral process,26856,11761,GO:0051851,TRUE
query_1,TRUE,0.0191126622262104,410,5727,125,0.0218264361795006,0.304878048780488,GO:1902074,GO:BP,response to salt,26856,22878,GO:0042221,TRUE
query_1,TRUE,0.0196511775433413,173,5727,62,0.0108259123450323,0.358381502890173,GO:0051384,GO:BP,response to glucocorticoid,26856,14374,GO:0031960,TRUE
query_1,TRUE,0.02325005322011,42,5727,22,0.00384145276759211,0.523809523809524,GO:0006284,GO:BP,base-excision repair,26856,2128,GO:0006281,TRUE
query_1,TRUE,0.0325470052117267,133,5727,50,0.00873057447180024,0.37593984962406,GO:0060972,GO:BP,left/right pattern formation,26856,15852,GO:0003002,TRUE
query_1,TRUE,0.0441471527976999,132,5747,50,0.00870019140421089,0.378787878787879,GO:0005201,GO:MF,extracellular matrix structural constituent,24945,1353,GO:0005198,TRUE
query_1,TRUE,0.0467167055499075,107,5727,42,0.00733368255631221,0.392523364485981,GO:0043473,GO:BP,pigmentation,26856,11230,GO:0008150,TRUE
query_1,TRUE,0.0497950432767124,8,5751,7,0.00121717962093549,0.875,GO:0070761,GO:CC,pre-snoRNP complex,26959,2558,GO:1990904,TRUE
query_1,TRUE,0.0499905050261872,7,5727,7,0.00122228042605203,1,GO:1900052,GO:BP,regulation of retinoic acid biosynthetic process,26856,21150,c("GO:0002138", "GO:0010565", "GO:0019747", "GO:0030656", "GO:0031326", "GO:0032350", "GO:0046890"),TRUE
